drugbank_id,GenericName,SideEffectTerm,SOC,FrequencyRatingValue
DB00802,alfentanil,asthenia,General disorders and administration site conditions,4
DB00802,alfentanil,movement disorder,Nervous system disorders,4
DB00802,alfentanil,dyskinesia,Nervous system disorders,4
DB00802,alfentanil,tachycardia,Cardiac disorders,5
DB00802,alfentanil,hypertension,Vascular disorders,5
DB00802,alfentanil,vomiting,Gastrointestinal disorders,5
DB00802,alfentanil,injection site pain,General disorders and administration site conditions,4
DB00802,alfentanil,injection site pain,"Injury, poisoning and procedural complications",4
DB00802,alfentanil,bradycardia,Cardiac disorders,5
DB00802,alfentanil,apnoea,"Respiratory, thoracic and mediastinal disorders",4
DB00802,alfentanil,dizziness,Vascular disorders,4
DB00802,alfentanil,dizziness,Cardiac disorders,4
DB00802,alfentanil,dizziness,Nervous system disorders,4
DB00802,alfentanil,procedural pain,General disorders and administration site conditions,4
DB00802,alfentanil,procedural pain,"Injury, poisoning and procedural complications",4
DB00802,alfentanil,nausea,Gastrointestinal disorders,5
DB00802,alfentanil,fatigue,General disorders and administration site conditions,4
DB00802,alfentanil,chills,Musculoskeletal and connective tissue disorders,4
DB00802,alfentanil,chills,General disorders and administration site conditions,4
DB00802,alfentanil,euphoric mood,Psychiatric disorders,4
DB00802,alfentanil,hypotension,Vascular disorders,5
DB00802,alfentanil,muscle rigidity,Musculoskeletal and connective tissue disorders,5
DB00802,alfentanil,muscle rigidity,Nervous system disorders,5
DB00976,telithromycin,flatulence,Gastrointestinal disorders,4
DB00976,telithromycin,diarrhoea,Gastrointestinal disorders,4
DB00976,telithromycin,dysgeusia,Gastrointestinal disorders,4
DB00976,telithromycin,dysgeusia,Nervous system disorders,4
DB00976,telithromycin,vertigo,Ear and labyrinth disorders,4
DB00976,telithromycin,vertigo,Nervous system disorders,4
DB00976,telithromycin,vomiting,Gastrointestinal disorders,4
DB00976,telithromycin,headache,Nervous system disorders,4
DB00976,telithromycin,dizziness,Vascular disorders,4
DB00976,telithromycin,dizziness,Cardiac disorders,4
DB00976,telithromycin,dizziness,Nervous system disorders,4
DB00976,telithromycin,nausea,Gastrointestinal disorders,4
DB00976,telithromycin,gastrointestinal pain,Gastrointestinal disorders,4
DB00976,telithromycin,dyspepsia,Gastrointestinal disorders,4
DB00976,telithromycin,abdominal pain,Gastrointestinal disorders,4
DB00976,telithromycin,visual impairment,Eye disorders,4
DB06290,simeprevir,asthenia,General disorders and administration site conditions,5
DB06290,simeprevir,dermatitis,Skin and subcutaneous tissue disorders,5
DB06290,simeprevir,hepatobiliary disease,Hepatobiliary disorders,4
DB06290,simeprevir,dyspnoea,"Respiratory, thoracic and mediastinal disorders",5
DB06290,simeprevir,dyspnoea,Cardiac disorders,5
DB06290,simeprevir,insomnia,Psychiatric disorders,5
DB06290,simeprevir,insomnia,Nervous system disorders,5
DB06290,simeprevir,myalgia,Musculoskeletal and connective tissue disorders,5
DB06290,simeprevir,mediastinal disorder,"Respiratory, thoracic and mediastinal disorders",5
DB06290,simeprevir,headache,Nervous system disorders,5
DB06290,simeprevir,nausea,Gastrointestinal disorders,5
DB06290,simeprevir,fatigue,General disorders and administration site conditions,5
DB06290,simeprevir,anaemia,Blood and lymphatic system disorders,5
DB06290,simeprevir,rash,Skin and subcutaneous tissue disorders,5
DB06290,simeprevir,photosensitivity reaction,Skin and subcutaneous tissue disorders,5
DB06290,simeprevir,musculoskeletal discomfort,Musculoskeletal and connective tissue disorders,5
DB06290,simeprevir,pruritus,Skin and subcutaneous tissue disorders,5
DB00859,penicillamine,leukopenia,Blood and lymphatic system disorders,4
DB00859,penicillamine,dermatitis,Skin and subcutaneous tissue disorders,4
DB00859,penicillamine,protein urine present,Investigations,4
DB00859,penicillamine,thrombocytopenia,Blood and lymphatic system disorders,4
